Image Filename,Avg Color Name,A_Red,A_Green,A_Blue,Dominant Color Name,D_Red,D_Green,D_Blue
tn_E9301_00574.jpg,grey,124,117,109,grey,136,129,121
tn_gibraltar-quarry.jpg,grey,132,125,112,grey,145,138,125
tn_E0577_00742.jpg,darkolivegreen,97,85,74,darkolivegreen,88,76,65
tn_E0608_00701.jpg,grey,138,117,106,grey,157,137,126
tn_E0824_00705.jpg,darkslategray,63,45,35,darkslategray,56,39,28
tn_E0697_00707.jpg,darkolivegreen,86,67,51,darkolivegreen,79,60,44
tn_E0881_00502.jpg,darkslategray,76,80,85,darkslategray,66,70,75
tn_2662V_00131.jpg,grey,156,134,110,rosybrown,169,146,119
tn_E0476_00710.jpg,dimgrey,120,102,94,darkolivegreen,99,80,72
tn_E0053_00513.jpg,dimgrey,112,117,109,dimgrey,105,110,103
tn_walton-birch.jpg,grey,157,142,111,rosybrown,173,158,127
tn_E0146_00710.jpg,dimgrey,102,83,74,darkolivegreen,91,72,63
tn_CCS03_00110.jpg,rosybrown,176,148,126,rosybrown,181,153,131
tn_E9366_00704.jpg,darkslategray,53,48,44,darkslategray,43,38,34
tn_E0996_00540.jpg,rosybrown,168,158,144,darkgray,179,169,155
tn_SW546_00510.jpg,darkslategray,66,56,49,darkslategray,62,52,45
tn_E0406_00125.jpg,silver,211,197,174,tan,202,187,162
tn_E0084_00100.jpg,silver,211,204,187,lightgray,217,209,192
tn_E0052_00710.jpg,grey,127,124,110,dimgrey,122,119,105
tn_0543V_00205.jpg,darkkhaki,177,158,117,darkkhaki,173,153,113
tn_52Y46_00203.jpg,tan,201,172,134,tan,208,180,142
tn_52Y34_00310.jpg,black,35,33,27,black,28,25,19
tn_E0049_00107.jpg,grey,163,132,109,grey,159,128,105
tn_0731V_00799.jpg,darkolivegreen,101,88,62,darkolivegreen,111,96,69
tn_54660_60520.jpg,grey,147,136,124,rosybrown,167,157,145
tn_CCS04_00302.jpg,grey,137,134,101,grey,144,141,108
tn_E9301_00563.jpg,darkgray,184,176,164,silver,192,185,172
tn_E0824_00103.jpg,lightgray,216,210,197,lightgray,220,214,201
tn_2490V_00248.jpg,rosybrown,178,162,133,rosybrown,162,145,115
tn_E0837_00103.jpg,tan,200,187,165,silver,207,195,173
lg_LVP-ACACIA_PUMICE (1)_TN.jpg,dimgrey,114,100,95,dimgrey,107,93,87
tn_E9301_00763.jpg,rosybrown,187,168,148,tan,195,176,156
tn_E0054_00600.jpg,sienna,127,82,63,saddlebrown,117,71,52
tn_E0631_00700.jpg,rosybrown,180,166,139,tan,185,171,144
tn_E0588_00931.jpg,darkslategray,59,26,32,black,53,21,26
tn_hamptons-hornsby.jpg,darkslategray,67,56,52,darkslategray,77,66,62
tn_SW563_00229.jpg,sienna,142,95,60,sienna,132,85,52
tn_venus-smoke.jpg,grey,134,127,119,grey,151,144,135
ENG-HICKORY_AZTEC_TN.jpg,saddlebrown,103,48,22,maroon,94,37,9
tn_gibraltar-cliff.jpg,grey,130,129,124,grey,144,143,138
HS_ACACIA_NATURAL_TN.jpg,dimgrey,119,96,71,darkolivegreen,112,88,62
tn_E9255_00962.jpg,black,48,25,30,black,39,16,22
tn_SL938_00185.jpg,sienna,135,100,65,darkolivegreen,119,87,56
tn_E0916_00130.jpg,silver,192,187,183,silver,206,201,197
tn_E0928_00556.jpg,darkslategray,72,62,51,darkslategray,63,53,42
tn_laurel-oatmeal.jpg,grey,159,148,114,rosybrown,167,157,123
tn_19813_00703.jpg,grey,147,133,122,rosybrown,171,158,148
tn_E0630_00400.jpg,darkgray,154,161,153,darkgray,149,155,148
ENG-HICKORY_STARDUST_TN.jpg,darkolivegreen,99,73,58,darkolivegreen,91,64,49
tn_CCS04_00800.jpg,indianred,174,118,96,indianred,180,124,102
tn_E0811_00100.jpg,silver,205,198,185,silver,210,203,190
tn_E0577_00740.jpg,rosybrown,172,153,124,rosybrown,179,160,132
tn_XV261_00220.jpg,grey,151,124,116,rosybrown,174,147,139
tn_CCS01_00301.jpg,silver,195,191,171,silver,199,195,175
tn_E0863_00722.jpg,dimgrey,109,98,87,darkolivegreen,89,78,67
tn_E0056_00109.jpg,silver,188,189,178,silver,195,195,184
4403.thb.jpg,dimgrey,100,91,78,rosybrown,177,163,139
tn_E0577_00502.jpg,black,21,16,15,black,17,11,11
tn_SL245_00154.jpg,peru,172,118,61,peru,179,126,68
tn_E0052_00612.jpg,maroon,88,35,28,maroon,84,30,23
tn_E0807_00710.jpg,rosybrown,159,141,129,grey,147,130,117
tn_E9350_00100.jpg,rosybrown,165,156,143,darkgray,180,171,158
tn_CCS01_00201.jpg,rosybrown,184,154,116,rosybrown,190,160,122
tn_0426V_00506.jpg,peru,174,126,71,peru,182,134,77
tn_SW119_00914.jpg,sienna,140,90,49,sienna,149,96,54
tn_E0439_00201.jpg,rosybrown,167,141,110,grey,158,131,100
tn_E0587_00116.jpg,rosybrown,176,155,130,rosybrown,186,166,141
tn_E0539_00512.jpg,silver,188,186,177,silver,196,194,186
tn_E0406_00324.jpg,dimgrey,128,108,85,darkolivegreen,113,92,69
tn_brookhaven_ii-stonewall.jpg,dimgrey,131,115,99,dimgrey,104,88,73
